ROV_heading,Camera_heading,Difference
-0.0902735935,0.1736752634,-0.2639488569
-0.0925529016,0.1734319883,-0.2659848899
-0.0942623278,0.1693304403,-0.263592768
-0.0984687966,0.1692282835,-0.26769708
-0.0977185766,0.1674764502,-0.2651950268
-0.0850456059,0.1661764889,-0.2512220948
-0.0956473587,0.1683142075,-0.2639615661
-0.0906849951,0.1682609663,-0.2589459614
-0.0981248049,0.1769398901,-0.275064695
-0.0954311949,0.1769647686,-0.2723959635
-0.0982297321,0.1676009111,-0.2658306432
-0.0938555439,0.1695971853,-0.2634527292
-0.0979631066,0.1673604086,-0.2653235152
-0.0950876,0.1672059231,-0.262293523
-0.0957891063,0.1735038684,-0.2692929747
-0.0948976533,0.1646210954,-0.2595187487
-0.1185930552,0.1578474768,-0.276440532
-0.1485552913,0.1452914731,-0.2938467644
-0.1767701826,0.1287259537,-0.3054961363
-0.1724451713,0.1038870462,-0.2763322175
-0.2031313397,0.0527637916,-0.2558951313
-0.2204887282,0.0524773704,-0.2729660986
-0.2448104433,0.0476972223,-0.2925076656
-0.2609038496,0.0208674499,-0.2817712995
-0.2724145795,-0.0232386092,-0.2491759703
-0.3010223903,-0.0234416305,-0.2775807599
-0.3159841111,-0.0311470734,-0.2848370377
-0.3304684979,-0.0489162714,-0.2815522265
-0.3497176794,-0.0691667823,-0.2805508971
-0.3681555537,-0.0956814432,-0.2724741105
-0.3763283621,-0.1389369113,-0.2373914508
-0.3890764995,-0.138844043,-0.2502324565
-0.4166288513,-0.1724263878,-0.2442024636
-0.4275567774,-0.1718519398,-0.2557048375
-0.4481943918,-0.1863377127,-0.2618566792
-0.4651834032,-0.2040635451,-0.2611198581
-0.4848271713,-0.2184409865,-0.2663861848
-0.4948103116,-0.2769978785,-0.2178124331
-0.5141700629,-0.286313653,-0.22785641
-0.5218237818,-0.3193909979,-0.2024327838
-0.5472465277,-0.3194137074,-0.2278328204
-0.5594086427,-0.3436663271,-0.2157423155
-0.5734690387,-0.3506228017,-0.2228462369
-0.5887895501,-0.379911969,-0.2088775811
-0.6029115977,-0.3800013163,-0.2229102814
-0.61320412,-0.3942906556,-0.2189134644
-0.6275197072,-0.4274752813,-0.2000444259
-0.6360318247,-0.4510619174,-0.1849699073
-0.6528287849,-0.4688032707,-0.1840255142
-0.6615142964,-0.4689417905,-0.1925725058
-0.6896057459,-0.5003321666,-0.1892735793
-0.7032794552,-0.5470875036,-0.1561919517
-0.719549735,-0.547042004,-0.172507731
