force (kg),x_mag,y_mag,z_mag
0.0,2.89294240838206e-05,7.08919354838293e-05,0.00019100191616762408
0.001,2.89294240838206e-05,7.08919354838293e-05,0.00019100191616762408
0.002,2.89294240838206e-05,7.08919354838293e-05,0.00019100191616762408
0.003,2.89294240838206e-05,7.08919354838293e-05,0.00019100191616762408
0.004,2.89294240838206e-05,7.08919354838293e-05,0.00019100191616762408
0.005,2.89294240838206e-05,7.08919354838293e-05,0.00019100191616762408
0.006,2.89294240838206e-05,7.08919354838293e-05,0.00019100191616762408
0.007,2.89294240838206e-05,7.08919354838293e-05,0.00019100191616762408
0.008,2.89294240838206e-05,7.08919354838293e-05,0.00019100191616762408
0.009,2.89294240838206e-05,7.08919354838293e-05,-0.00021005197604794662
0.01,2.89294240838206e-05,7.08919354838293e-05,-0.00021005197604794662
0.011,2.89294240838206e-05,7.08919354838293e-05,-0.00021005197604794662
0.012,2.89294240838206e-05,7.08919354838293e-05,-0.00021005197604794662
0.013,2.89294240838206e-05,7.08919354838293e-05,-0.00021005197604794662
0.014,2.89294240838206e-05,7.08919354838293e-05,-0.00021005197604794662
0.015,2.89294240838206e-05,7.08919354838293e-05,-0.00021005197604794662
0.016,0.0001604268062827749,-6.414032258068511e-05,-9.525029940164742e-06
0.017,0.0001604268062827749,-6.414032258068511e-05,-9.525029940164742e-06
0.018,0.0001604268062827749,-6.414032258068511e-05,-9.525029940164742e-06
0.019,0.0001604268062827749,-6.414032258068511e-05,-9.525029940164742e-06
0.02,0.0001604268062827749,-6.414032258068511e-05,-9.525029940164742e-06
0.021,-0.0001025679581151337,-0.00019917258064519952,-9.525029940164742e-06
0.022,-0.0001025679581151337,-0.00019917258064519952,-9.525029940164742e-06
0.023,-0.0001025679581151337,-0.00019917258064519952,-9.525029940164742e-06
0.024,-0.0001025679581151337,-0.00019917258064519952,-9.525029940164742e-06
0.025,-3.681926701565655e-05,-0.00019917258064519952,9.07384431137262e-05
0.026,-3.681926701565655e-05,-0.00019917258064519952,9.07384431137262e-05
0.027,-3.681926701565655e-05,-0.00019917258064519952,9.07384431137262e-05
0.028,-3.681926701565655e-05,-0.00019917258064519952,9.07384431137262e-05
0.029,-3.681926701565655e-05,-0.00019917258064519952,9.07384431137262e-05
0.03,-3.681926701565655e-05,-0.00019917258064519952,9.07384431137262e-05
0.031,-3.681926701565655e-05,-0.00019917258064519952,9.07384431137262e-05
0.032,-3.681926701565655e-05,-0.00019917258064519952,9.07384431137262e-05
0.033,-3.681926701565655e-05,-0.00019917258064519952,9.07384431137262e-05
0.034,-3.681926701565655e-05,-0.00019917258064519952,9.07384431137262e-05
0.035,-3.681926701565655e-05,-0.00019917258064519952,9.07384431137262e-05
