force (kg),x_mag,y_mag,z_mag,,
0,-7.63E-05,-6.89E-05,0.0001143,,
0.0118,-7.63E-05,-6.89E-05,0.0001143,,
0.0236,-7.63E-05,-6.89E-05,0.0001143,,
0.0354,-7.63E-05,-6.89E-05,0.0001143,,
0.0472,-7.63E-05,-6.89E-05,0.0001143,,
0.059,0.000120978,0.000471263,-0.000286754,,
0.0708,0.000120978,0.000471263,-0.000286754,,
0.0826,0.000120978,0.000471263,-0.000286754,,
0.0944,0.000120978,0.000471263,-0.000286754,,
0.1062,0.000844213,-0.000203899,0.000715881,,
0.118,0.000120978,0.000201198,-0.001189125,,
0.1298,0.000120978,0.000201198,-0.001189125,,
0.1416,0.000909962,6.62E-05,0.0001143,,
0.1534,0.000844213,0.000201198,-0.000387017,,
0.1652,0.000844213,0.000201198,-0.000587544,,
0.177,0.000449721,0.000471263,-0.000587544,,
0.1888,5.52E-05,0.000471263,-0.00018649,,
0.2006,5.52E-05,0.000471263,-0.00018649,,
0.2124,0.000252475,0.000471263,-0.000687807,,
0.2242,0.000252475,0.000471263,-0.000687807,,
0.236,0.001041459,6.62E-05,0.000314827,,
0.2478,0.001041459,6.62E-05,0.000314827,,
0.2596,0.001041459,0.000201198,1.40E-05,,
0.2714,0.000252475,0.000876359,-0.000888334,,
0.2832,0.000581218,0.000471263,0.0001143,,
0.295,0.000581218,0.000741327,-0.000788071,,
0.3068,0.000581218,0.000741327,-0.000788071,,
0.3186,0.000581218,0.000741327,-0.000387017,,
0.3304,0.001238705,0.00033623,1.40E-05,,
0.3422,0.000909962,0.000471263,0.0001143,,
0.354,0.000909962,0.000471263,0.0001143,,
0.3658,0.0015017,0.000471263,1.40E-05,,
0.3776,0.0015017,0.000471263,1.40E-05,,
0.3894,0.001172957,0.000471263,0.000314827,,
0.4012,0.0015017,0.000741327,0.0001143,,
0.413,0.000712716,0.001146424,-0.000988598,,
0.4248,0.000712716,0.001146424,-0.000988598,,
0.4366,0.000712716,0.001146424,-0.000988598,,
0.4484,0.000778465,0.001011392,0.000214564,,
0.4602,0.000778465,0.001011392,0.000214564,,
0.472,0.000778465,0.001011392,0.000214564,,
0.4838,0.001698946,0.000741327,-0.00018649,,
0.4956,0.001567449,0.000741327,0.000415091,,
0.5074,0.001238705,0.001146424,-0.000788071,,
0.5192,0.001238705,0.001146424,-0.000788071,,
0.531,0.001830444,0.001011392,0.000214564,,
0.5428,0.001830444,0.001011392,0.000214564,,
0.5546,0.001830444,0.001011392,0.000214564,,
0.5664,0.001435951,0.001146424,0.000515354,,
0.5782,0.001435951,0.001146424,0.000515354,,
0.59,0.001896192,0.001011392,0.0001143,,
0.6018,0.001172957,0.001416488,-0.00018649,,
0.6136,0.000909962,0.001551521,-8.62E-05,,
0.6254,0.001238705,0.001281456,0.000214564,,
0.6372,0.002093438,0.001281456,-0.00048728,,
0.649,0.002159187,0.001551521,-0.000587544,,
0.6608,0.002159187,0.001551521,-0.000587544,,
0.6726,0.00202769,0.001686553,0.000314827,,
0.6844,0.001370203,0.001416488,-0.000687807,,
0.6962,0.002356433,0.001416488,-0.000286754,,
0.708,0.002356433,0.001416488,-0.000286754,,
0.7198,0.002356433,0.001416488,-0.000286754,,
0.7316,0.001633197,0.002226682,-0.00048728,,
0.7434,0.001633197,0.002226682,-0.00048728,,
0.7552,0.002816674,0.001956617,0.000214564,,
0.767,0.002816674,0.001956617,0.000214564,,
0.7788,0.00248793,0.00209165,-0.000286754,,
0.7906,0.002159187,0.002361714,0.000415091,,
0.8024,0.00248793,0.001821585,0.000415091,,
0.8142,0.00248793,0.001821585,0.000415091,,
0.826,0.00202769,0.002361714,-0.00048728,,
0.8378,0.002948171,0.002766811,0.000415091,,
0.8496,0.002816674,0.002361714,-0.00018649,,
0.8614,0.002159187,0.002496746,-8.62E-05,,
0.8732,0.003211166,0.002631779,-0.000286754,,
0.885,0.002750925,0.002631779,0.0001143,,
0.8968,0.002422182,0.002226682,-0.000988598,,
0.9086,0.002422182,0.002226682,-0.000988598,,
0.9204,0.003145417,0.002496746,-0.000687807,,
0.9322,0.003145417,0.002496746,-0.000687807,,
0.944,0.00301392,0.003171908,-0.000286754,,
0.9558,0.002619428,0.003441972,-8.62E-05,,
0.9676,0.002685177,0.003441972,-0.00018649,,
0.9794,0.002619428,0.003577005,-0.000387017,,
0.9912,0.00301392,0.003441972,-0.00018649,,
1.003,0.004131648,0.003036875,-0.00018649,,
1.0148,0.00400015,0.00330694,-0.00018649,,
1.0266,0.00452614,0.00330694,-0.000687807,,
1.0384,0.003276915,0.003847069,-0.000788071,,
1.0502,0.004723386,0.002631779,1.40E-05,,
1.062,0.003934402,0.003712037,-0.001088861,,
1.0738,0.003934402,0.003712037,-0.001088861,,
1.0856,0.00400015,0.003712037,0.0001143,,
1.0974,0.00400015,0.003712037,-0.000687807,,
1.1092,0.008208067,0.010733714,-0.000687807,,
1.121,0.010838014,0.012219069,-0.001389652,,
1.1328,0.002093438,0.001011392,1.40E-05,,
1.1446,0.001633197,0.000876359,-0.00018649,,
1.1564,0.008405313,0.012489134,-0.000387017,,
1.1682,0.013665208,0.007087843,-0.000387017,,
1.18,0.013665208,0.007087843,-0.000387017,,
1.1918,0.009260046,0.007898037,-0.001289388,,
1.2036,0.009260046,0.007898037,-0.001289388,,
1.2154,0.009260046,0.007898037,-0.001289388,,
1.2272,0.009260046,0.009248359,-0.000286754,,
1.239,0.008931302,0.009788488,-0.000687807,,
1.2508,0.010509271,0.042601327,-0.001088861,,
1.2626,0.010377773,0.008033069,-0.001088861,,
1.2744,0.010377773,0.008033069,-0.001088861,,
1.2862,0.008865554,0.011273843,-0.001389652,,
1.298,0.008865554,0.011273843,-0.001389652,,
1.3098,0.008865554,0.011273843,-0.001389652,,
1.3216,0.011692747,0.008843263,-0.000587544,,
1.3334,0.011692747,0.008843263,-0.000587544,,
1.3452,0.011692747,0.008843263,-0.000587544,,
1.357,0.006827344,0.00452223,-0.000587544,,
1.3688,0.006827344,0.00452223,-0.000587544,,
1.3806,0.006827344,0.00452223,-0.000587544,,
1.3924,0.006827344,0.006142617,-0.001088861,,
1.4042,0.007156088,0.006142617,-0.001088861,,
1.416,0.007156088,0.006142617,-0.001088861,,
1.4278,0.007156088,0.006142617,-0.001088861,,
1.4396,0.007156088,0.006142617,-0.001088861,,
1.4514,0.007156088,0.006142617,-0.001088861,,
1.4632,0.006301355,0.007627972,-0.000888334,,
1.475,0.008273815,0.00627765,-8.62E-05,,
1.4868,0.00755058,0.006412682,-0.000888334,,
1.4986,0.008142318,0.006007585,1.40E-05,,
1.5104,0.008142318,0.006007585,1.40E-05,,
1.5222,0.008142318,0.006007585,1.40E-05,,
1.534,0.007090339,0.00749294,-0.000788071,,
1.5458,0.008273815,0.00749294,-0.000788071,,
