force (kg),x_mag,y_mag,z_mag,,,,,
0,-0.000468131,0.000314625,-0.000824166,,0,,,
0.005,-0.000402382,0.000179593,-0.000824166,,0.0118,,,
0.01,-0.000468131,0.000179593,-0.000824166,,0.0236,,,
0.015,-0.000468131,0.000179593,-0.000824166,,0.0354,,,
0.02,-0.000468131,0.000179593,-0.000824166,,0.0472,,,
0.025,-0.000402382,0.000449657,-0.000723902,,0.059,,,
0.03,-0.000468131,0.000179593,-0.000924429,,0.0708,,,
0.035,-0.000533879,0.000314625,-0.000723902,,0.0826,,,
0.04,-0.000468131,0.000314625,-0.000723902,,0.0944,,,
0.045,-0.000468131,0.000314625,-0.000723902,,0.1062,,,
0.05,-0.000468131,0.000314625,-0.000723902,,0.118,,,
0.055,-0.000468131,4.46E-05,-0.000824166,,0.1298,,,
0.06,-0.000468131,4.46E-05,-0.000824166,,0.1416,,,
0.065,-0.000533879,0.000179593,-0.000924429,,0.1534,,,
0.07,-0.000533879,0.000179593,-0.000924429,,0.1652,,,
0.075,-0.000533879,0.000179593,-0.000924429,,0.177,,,
0.08,-0.000270885,4.46E-05,-0.000623639,,0.1888,,,
0.085,-0.000270885,4.46E-05,-0.000623639,,0.2006,,,
0.09,0.000452351,4.46E-05,-0.001024693,,0.2124,,,
0.095,-0.000533879,4.46E-05,-0.0018268,,0.2242,,,
0.1,-0.000862623,-0.000225504,-0.000322848,,0.236,,,
0.105,0.000386602,0.000179593,-0.001024693,,0.2478,,,
0.11,0.000386602,0.000179593,-0.001024693,,0.2596,,,
0.115,0.000189356,4.46E-05,-0.001024693,,0.2714,,,
0.12,-7.89E-06,-0.000225504,-0.000723902,,0.2832,,,
0.125,-0.000205136,4.46E-05,-0.00152601,,0.295,,,
0.13,-0.000205136,4.46E-05,-0.00152601,,0.3068,,,
0.135,-0.000270885,4.46E-05,-0.001425747,,0.3186,,,
0.14,-7.36E-05,4.46E-05,-0.000824166,,0.3304,,,
0.145,0.000123608,4.46E-05,-0.00122522,,0.3422,,,
0.15,-7.36E-05,0.000179593,-0.001425747,,0.354,,,
0.155,-0.000402382,-9.05E-05,-0.00152601,,0.3658,,,
0.16,0.000123608,-0.000225504,-0.001024693,,0.3776,,,
0.165,0.000123608,-0.000225504,-0.001024693,,0.3894,,,
0.17,0.000123608,-0.000630601,-0.000723902,,0.4012,,,
0.175,-0.001191366,-0.000630601,-0.000723902,,0.413,,,
0.18,-0.000599628,-0.000360536,-0.001626274,,0.4248,,,
0.185,-0.000599628,-0.000360536,-0.001626274,,0.4366,,,
0.19,-0.000599628,-0.00117073,-0.000423112,,0.4484,,,
0.195,-0.001191366,-0.00117073,-0.000423112,,0.4602,,,
0.2,-0.000533879,-0.000495568,-0.001626274,,0.472,,,
0.205,-0.000533879,-0.000495568,-0.001626274,,0.4838,,,
0.21,-0.000533879,-0.000495568,-0.001626274,,0.4956,,,
0.215,-0.000533879,-0.000495568,-0.001626274,,0.5074,,,
0.22,-0.000533879,-0.000495568,-0.001626274,,0.5192,,,
0.225,-0.000665377,-0.001035697,-0.000924429,,0.531,,,
0.23,-0.000665377,-0.001035697,-0.000924429,,0.5428,,,
0.235,-0.000665377,-0.001035697,-0.000924429,,0.5546,,,
0.24,-0.000665377,-0.001035697,-0.000924429,,0.5664,,,
0.245,-0.000731125,-0.001035697,-0.00152601,,0.5782,,,
0.25,-0.000731125,-0.001035697,-0.00152601,,0.59,,,
0.255,-0.000731125,-0.000900665,-0.00152601,,0.6018,,,
0.26,-0.002111848,-0.001575826,-0.001124956,,0.6136,,,
0.265,-0.00099412,-0.001305762,-0.001425747,,0.6254,,,
0.27,-0.002177597,-0.001845891,-0.00122522,,0.6372,,,
0.275,-0.001783105,-0.001710859,-0.000924429,,0.649,,,
0.28,-0.001388612,-0.001710859,-0.001325483,,0.6608,,,
0.285,-0.001388612,-0.001710859,-0.00152601,,0.6726,,,
0.29,-0.002637837,-0.002115955,-0.001124956,,0.6844,,,
0.295,-0.001454361,-0.001305762,-0.001726537,,0.6962,,,
0.3,-0.001651607,-0.001845891,-0.001325483,,0.708,,,
0.305,-0.001585858,-0.001575826,-0.001927064,,0.7198,,,
0.31,-0.001454361,-0.002250988,-0.001626274,,0.7316,,,
0.315,-0.002572089,-0.002250988,-0.001726537,,0.7434,,,
0.32,-0.001848853,-0.00238602,-0.00152601,,0.7552,,,
0.325,-0.001848853,-0.00238602,-0.00152601,,0.767,,,
0.33,-0.002111848,-0.002656085,-0.001124956,,0.7788,,,
0.335,-0.002374843,-0.00238602,-0.001124956,,0.7906,,,
0.34,-0.002374843,-0.00238602,-0.001124956,,0.8024,,,
0.345,-0.002374843,-0.00238602,-0.001124956,,0.8142,,,
0.35,-0.002374843,-0.00238602,-0.001124956,,0.826,,,
0.355,-0.002769335,-0.003061181,-0.002127591,,0.8378,,,
0.36,-0.002769335,-0.003061181,-0.002127591,,0.8496,,,
0.365,-0.002769335,-0.003061181,-0.002127591,,0.8614,,,
0.37,-0.002637837,-0.003061181,-0.002227854,,0.8732,,,
0.375,-0.002966581,-0.003196214,-0.0018268,,0.885,,,
0.38,-0.003163827,-0.003196214,-0.0018268,,0.8968,,,
0.385,-0.003163827,-0.003196214,-0.0018268,,0.9086,,,
0.39,-0.003163827,-0.003196214,-0.0018268,,0.9204,,,
0.395,-0.003163827,-0.003196214,-0.0018268,,0.9322,,,
0.4,-0.003163827,-0.003196214,-0.0018268,,0.944,,,
0.405,-0.003163827,-0.003196214,-0.0018268,,0.9558,,,
0.41,-0.003163827,-0.003196214,-0.0018268,,0.9676,,,
0.415,-0.003163827,-0.003196214,-0.0018268,,0.9794,,,
0.42,-0.003163827,-0.003196214,-0.0018268,,0.9912,,,
0.425,-0.003163827,-0.003196214,-0.0018268,,1.003,,,
0.43,-0.004873293,-0.003736343,-0.002227854,,1.0148,,,
0.435,-0.004478801,-0.004816601,-0.002027327,,1.0266,,,
0.44,-0.004478801,-0.004816601,-0.002027327,,1.0384,,,
0.445,-0.004807544,-0.004681568,-0.002628908,,1.0502,,,
0.45,-0.004676047,-0.005491762,-0.001927064,,1.062,,,
0.455,-0.005465031,-0.005221697,-0.001626274,,1.0738,,,
0.46,-0.004807544,-0.00535673,-0.0018268,,1.0856,,,
0.465,-0.004741796,-0.004951633,-0.001425747,,1.0974,,,
0.47,-0.005465031,-0.004816601,-0.002829435,,1.1092,,,
0.475,-0.005267785,-0.00535673,-0.002628908,,1.121,,,
0.48,-0.006056769,-0.004816601,-0.002328118,,1.1328,,,
0.485,-0.004873293,-0.007247181,-0.002227854,,1.1446,,,
0.49,-0.006319764,-0.005626794,-0.001726537,,1.1564,,,
0.495,-0.005728026,-0.00535673,-0.002328118,,1.1682,,,
0.5,-0.005859523,-0.006436988,-0.003029962,,1.18,,,
0.505,-0.00651701,-0.005491762,-0.001927064,,1.1918,,,
0.51,-0.006648508,-0.005896859,-0.002328118,,1.2036,,,
0.515,-0.007108748,-0.006166923,-0.002227854,,1.2154,,,
0.52,-0.006582759,-0.006301955,-0.002829435,,1.2272,,,
0.525,-0.006385513,-0.007247181,-0.002027327,,1.239,,,
0.53,-0.004741796,-0.008057375,-0.002528645,,1.2508,,,
0.535,-0.004741796,-0.008057375,-0.002528645,,1.2626,,,
0.54,-0.006056769,-0.008597504,-0.0018268,,1.2744,,,
0.545,-0.006977251,-0.006031891,-0.001927064,,1.2862,,,
0.55,-0.005399283,-0.007517246,-0.002829435,,1.298,,,
0.555,-0.005399283,-0.007517246,-0.002829435,,1.3098,,,
0.56,-0.005399283,-0.007517246,-0.002428381,,1.3216,,,
0.565,-0.008292225,-0.008732536,-0.002428381,,1.3334,,,
0.57,-0.00802923,-0.00954273,-0.002929699,,1.3452,,,
0.575,-0.007503241,-0.009677762,-0.002929699,,1.357,,,
0.58,-0.007503241,-0.009677762,-0.002929699,,1.3688,,,
0.585,-0.007503241,-0.009677762,-0.002929699,,1.3806,,,
0.59,-0.007503241,-0.009677762,-0.002929699,,1.3924,,,
0.595,-0.007503241,-0.009677762,-0.002929699,,1.4042,,,
0.6,-0.007503241,-0.009677762,-0.002929699,,1.416,,,
0.605,-0.007503241,-0.009677762,-0.002929699,,1.4278,,,
0.61,-0.009081209,-0.009947826,-0.003130226,,1.4396,,,
0.615,-0.009081209,-0.009947826,-0.003130226,,1.4514,,,
0.62,-0.009804445,-0.011028085,-0.002328118,,1.4632,,,
0.625,-0.009804445,-0.011028085,-0.002328118,,1.475,,,
0.63,-0.009146958,-0.010487955,-0.002628908,,1.4868,,,
0.635,-0.009146958,-0.010487955,-0.002628908,,1.4986,,,
0.64,-0.008620968,-0.010352923,-0.003330753,,1.5104,,,
0.645,-0.007831984,-0.009812794,-0.002929699,,1.5222,,,
0.65,-0.007831984,-0.009812794,-0.002929699,,1.534,,,
0.655,-0.007831984,-0.009812794,-0.002929699,,1.5458,,,
0.66,-0.007831984,-0.009812794,-0.002929699,,1.5576,,,
0.665,-0.007831984,-0.009812794,-0.002929699,,1.5694,,,
0.67,-0.007831984,-0.009812794,-0.002929699,,1.5812,,,
0.675,-0.010659178,-0.012378407,-0.003932333,,1.593,,,
0.68,-0.010461932,-0.011838278,-0.002729172,,1.6048,,,
0.685,-0.010461932,-0.011838278,-0.002729172,,1.6166,,,
0.69,-0.010133188,-0.012108343,-0.004032597,,1.6284,,,
0.695,-0.010133188,-0.012108343,-0.00413286,,1.6402,,,
0.7,-0.010724926,-0.012513439,-0.00413286,,1.652,,,
0.705,-0.010724926,-0.012513439,-0.00413286,,1.6638,,,
0.71,-0.011711157,-0.012243375,-0.003431016,,1.6756,,,
0.715,-0.011711157,-0.012243375,-0.003431016,,1.6874,,,
0.72,-0.011645408,-0.012918536,-0.003029962,,1.6992,,,
0.725,-0.012237146,-0.012378407,-0.003932333,,1.711,,,
0.73,-0.01256589,-0.014808988,-0.003330753,,1.7228,,,
0.735,-0.013026131,-0.013593697,-0.00383207,,1.7346,,,
0.74,-0.012171398,-0.012918536,-0.00413286,,1.7464,,,
0.745,-0.012105649,-0.013998794,-0.00353128,,1.7582,,,
0.75,-0.012171398,-0.015079052,-0.003932333,,1.77,,,
0.755,-0.012171398,-0.015079052,-0.003932333,,1.7818,,,
0.76,-0.012960382,-0.014403891,-0.003230489,,1.7936,,,
0.765,-0.012960382,-0.014403891,-0.003230489,,1.8054,,,
0.77,-0.012500141,-0.014403891,-0.004634178,,1.8172,,,
0.775,-0.012500141,-0.014403891,-0.00353128,,1.829,,,
0.78,-0.013223377,-0.015889246,-0.00353128,,1.8408,,,
0.785,-0.013354874,-0.016429375,-0.004533914,,1.8526,,,
0.79,-0.013354874,-0.016429375,-0.004533914,,1.8644,,,
0.795,-0.014209607,-0.015484149,-0.003932333,,1.8762,,,
0.8,-0.014275356,-0.016699439,-0.004834705,,1.888,,,
0.805,-0.015130089,-0.015484149,-0.004934968,,1.8998,,,
0.81,-0.015130089,-0.015484149,-0.004533914,,1.9116,,,
0.815,-0.015919073,-0.017104536,-0.004433651,,1.9234,,,
0.82,-0.015195837,-0.01615931,-0.005035232,,1.9352,,,
0.825,-0.014604099,-0.016834472,-0.004834705,,1.947,,,
0.83,-0.014604099,-0.016834472,-0.004834705,,1.9588,,,
0.835,-0.014604099,-0.018184794,-0.004433651,,1.9706,,,
0.84,-0.015130089,-0.018184794,-0.004433651,,1.9824,,,
0.845,-0.015130089,-0.018184794,-0.004433651,,1.9942,,,
0.85,-0.015458832,-0.018319826,-0.004533914,,2.006,,,
0.855,-0.015458832,-0.018319826,-0.004533914,,2.0178,,,
0.86,-0.015458832,-0.018319826,-0.004834705,,2.0296,,,
0.865,-0.017497042,-0.018319826,-0.005035232,,2.0414,,,
0.87,-0.017497042,-0.018319826,-0.005035232,,2.0532,,,
0.875,-0.015130089,-0.018589891,-0.004433651,,2.065,,,
0.88,-0.016510811,-0.019670149,-0.004433651,,2.0768,,,
0.885,-0.018154529,-0.019400085,-0.005035232,,2.0886,,,
0.89,-0.017825785,-0.020480343,-0.005035232,,2.1004,,,
0.895,-0.017825785,-0.020480343,-0.005035232,,2.1122,,,
0.9,-0.018417523,-0.019670149,-0.005436286,,2.124,,,
0.905,-0.018417523,-0.019670149,-0.005436286,,2.1358,,,
0.91,-0.018417523,-0.019670149,-0.005436286,,2.1476,,,
0.915,-0.017825785,-0.020750407,-0.004433651,,2.1594,,,
0.92,-0.017825785,-0.020750407,-0.005035232,,2.1712,,,
0.925,-0.018417523,-0.021155504,-0.005035232,,2.183,,,
0.93,-0.018680518,-0.021290536,-0.006037866,,2.1948,,,
0.935,-0.01907501,-0.020885439,-0.005837339,,2.2066,,,
0.94,-0.019009262,-0.021020472,-0.005135495,,2.2184,,,
0.945,-0.019009262,-0.021020472,-0.005135495,,2.2302,,,
0.95,-0.019535251,-0.021425568,-0.004834705,,2.242,,,
0.955,-0.019535251,-0.021425568,-0.004834705,,2.2538,,,
0.96,-0.020061241,-0.022370794,-0.005737076,,2.2656,,,
0.965,-0.020455733,-0.02210073,-0.00613813,,2.2774,,,
0.97,-0.019732497,-0.023045955,-0.006037866,,2.2892,,,
0.975,-0.020192738,-0.02210073,-0.00613813,,2.301,,,
0.98,-0.01907501,-0.024126214,-0.006238393,,2.3128,,,
0.985,-0.01907501,-0.024126214,-0.006238393,,2.3246,,,
