force (kg),x_mag,y_mag,z_mag,,force (kg),,,
0,-0.001456991,0.001551521,0.003122205,,0,,,
0.005,-0.001456991,0.001551521,0.003122205,,0.0118,,,
0.01,-0.001456991,0.001821585,0.003021941,,0.0236,,,
0.015,-0.001391242,0.001821585,0.003523258,,0.0354,,,
0.02,-0.001391242,0.001551521,0.003422995,,0.0472,,,
0.025,-0.001391242,0.001551521,0.003422995,,0.059,,,
0.03,-0.001391242,0.001551521,0.003222468,,0.0708,,,
0.035,-0.001391242,0.001551521,0.003222468,,0.0826,,,
0.04,-0.001391242,0.001551521,0.003222468,,0.0944,,,
0.045,-0.001325494,0.001686553,0.003322731,,0.1062,,,
0.05,-0.001325494,0.001686553,0.003322731,,0.118,,,
0.055,-0.001391242,0.001686553,0.003222468,,0.1298,,,
0.06,-0.001391242,0.001686553,0.003723785,,0.1416,,,
0.065,-0.001325494,0.001686553,0.003122205,,0.1534,,,
0.07,-0.00099675,0.001686553,0.002921678,,0.1652,,,
0.075,-1.05E-05,0.001011392,0.003623522,,0.177,,,
0.08,-1.05E-05,0.001011392,0.003623522,,0.1888,,,
0.085,-1.05E-05,0.001011392,0.003623522,,0.2006,,,
0.09,-1.05E-05,0.001011392,0.003623522,,0.2124,,,
0.095,-1.05E-05,0.001011392,0.003623522,,0.2242,,,
0.1,-1.05E-05,0.001011392,0.003623522,,0.236,,,
0.105,-1.05E-05,0.001011392,0.003623522,,0.2478,,,
0.11,-1.05E-05,0.001011392,0.003623522,,0.2596,,,
0.115,-1.05E-05,0.001011392,0.003623522,,0.2714,,,
0.12,-0.001785734,0.001956617,0.003122205,,0.2832,,,
0.125,-0.000931001,0.001956617,0.003122205,,0.295,,,
0.13,-0.000931001,0.001956617,0.003122205,,0.3068,,,
0.135,-0.000931001,0.001956617,0.003122205,,0.3186,,,
0.14,-0.000865253,6.62E-05,0.003523258,,0.3304,,,
0.145,-0.000865253,6.62E-05,0.003523258,,0.3422,,,
0.15,-0.000865253,6.62E-05,0.003523258,,0.354,,,
0.155,-0.001654237,0.00209165,0.003021941,,0.3658,,,
0.16,-0.001391242,0.002631779,0.002921678,,0.3776,,,
0.165,-0.001128248,0.002361714,0.003021941,,0.3894,,,
0.17,-0.00152274,0.00209165,0.002821414,,0.4012,,,
0.175,-0.00152274,0.00209165,0.002821414,,0.413,,,
0.18,-0.00152274,0.00209165,0.002821414,,0.4248,,,
0.185,-0.00152274,0.00209165,0.002821414,,0.4366,,,
0.19,-0.00152274,0.00209165,0.002821414,,0.4484,,,
0.195,-0.000931001,0.002631779,0.002821414,,0.4602,,,
0.2,-0.000931001,0.002226682,0.003021941,,0.472,,,
0.205,-0.000273515,6.62E-05,0.003924312,,0.4838,,,
0.21,-0.000273515,6.62E-05,0.003924312,,0.4956,,,
0.215,-0.000273515,0.000471263,0.003322731,,0.5074,,,
0.22,-0.000799504,0.002361714,0.003021941,,0.5192,,,
0.225,-0.000733755,0.002496746,0.002721151,,0.531,,,
0.23,0.000186726,0.001416488,0.003021941,,0.5428,,,
0.235,-0.000799504,0.001686553,0.002921678,,0.5546,,,
0.24,-1.05E-05,0.002496746,0.003021941,,0.5664,,,
0.245,-0.000207766,0.002631779,0.002620887,,0.5782,,,
0.25,-0.000207766,0.002631779,0.002821414,,0.59,,,
0.255,-7.63E-05,0.002631779,0.002721151,,0.6018,,,
0.26,-0.000207766,0.002631779,0.002821414,,0.6136,,,
0.265,0.000186726,0.002361714,0.002821414,,0.6254,,,
0.27,0.000383972,0.00209165,0.002821414,,0.6372,,,
0.275,0.000646967,0.001416488,0.003122205,,0.649,,,
0.28,0.000975711,0.000876359,0.003122205,,0.6608,,,
0.285,-1.05E-05,0.002766811,0.002520624,,0.6726,,,
0.29,0.000581218,0.000606295,0.003122205,,0.6844,,,
0.295,0.000581218,0.000606295,0.003122205,,0.6962,,,
0.3,-7.63E-05,0.002766811,0.002721151,,0.708,,,
0.305,0.001107208,0.000471263,0.003122205,,0.7198,,,
0.31,0.001304454,0.001551521,0.002921678,,0.7316,,,
0.315,0.001304454,0.001551521,0.002921678,,0.7434,,,
0.32,0.000778465,0.002631779,0.002520624,,0.7552,,,
0.325,0.000778465,0.002631779,0.002520624,,0.767,,,
0.33,0.000778465,0.002631779,0.002520624,,0.7788,,,
0.335,-1.05E-05,0.002361714,0.002520624,,0.7906,,,
0.34,0.000975711,0.00209165,0.002520624,,0.8024,,,
0.345,0.000975711,0.00209165,0.002520624,,0.8142,,,
0.35,0.000975711,0.00209165,0.002320097,,0.826,,,
0.355,0.00051547,0.002901843,0.002219833,,0.8378,,,
0.36,0.001896192,0.002631779,0.002320097,,0.8496,,,
0.365,0.001896192,0.002631779,0.002320097,,0.8614,,,
0.37,0.001370203,0.001956617,0.002620887,,0.8732,,,
0.375,0.001633197,0.002631779,0.003021941,,0.885,,,
0.38,0.001633197,0.002631779,0.003021941,,0.8968,,,
0.385,0.002224936,0.001146424,0.003122205,,0.9086,,,
0.39,0.002422182,0.000606295,0.002921678,,0.9204,,,
0.395,0.002422182,0.000606295,0.002921678,,0.9322,,,
0.4,0.002422182,0.000606295,0.002921678,,0.944,,,
0.405,0.002159187,0.002496746,0.002520624,,0.9558,,,
0.41,0.002816674,0.000741327,0.002320097,,0.9676,,,
0.415,0.002750925,0.002631779,0.001919043,,0.9794,,,
0.42,0.002750925,0.002631779,0.001919043,,0.9912,,,
0.425,0.002750925,0.002631779,0.001919043,,1.003,,,
0.43,0.002750925,0.002631779,0.001919043,,1.0148,,,
0.435,0.002750925,0.002631779,0.001919043,,1.0266,,,
0.44,0.003868653,0.001011392,0.00242036,,1.0384,,,
0.445,0.003868653,0.001011392,0.00242036,,1.0502,,,
0.45,0.003934402,0.001956617,0.002320097,,1.062,,,
0.455,0.003934402,0.001956617,0.002320097,,1.0738,,,
0.46,0.003934402,0.001956617,0.002320097,,1.0856,,,
0.465,0.003474161,0.002901843,0.001718516,,1.0974,,,
0.47,0.003474161,0.002901843,0.001718516,,1.1092,,,
0.475,0.003474161,0.002901843,0.001718516,,1.121,,,
0.48,0.003474161,0.002901843,0.001718516,,1.1328,,,
0.485,0.003145417,0.001416488,0.00211957,,1.1446,,,
0.49,0.003605658,0.001686553,0.002219833,,1.1564,,,
0.495,0.00301392,0.003577005,0.00211957,,1.1682,,,
0.5,0.00301392,0.003577005,0.00211957,,1.18,,,
